geneid	funcatid	gotermid	pubmedid
NCU00670	01.20.15.03	 GO:0006744	PMID:15486203
NCU00670	70.16	 GO:0005739	PMID:15486203
NCU00671	10.03.03	 GO:0000910	PMID:15486203
NCU00671	20.09.13	 GO:0007034	PMID:15486203
NCU00677	01.05	 GO:0005975	PMID:15486203
NCU00677	01.20.35.01	 GO:0009699	PMID:15486203
NCU00678	01.01.03.02.02	 GO:0006538	PMID:15486203
NCU00679	01.06	 GO:0006629	PMID:15486203
NCU00680	01.01.06.06.01	 GO:0009085	PMID:15486203
NCU00681	11.02.03.04	 GO:0045449	PMID:15486203
NCU00681	32.01	 GO:0006950	PMID:15486203
NCU00690	11.04.01	 GO:0006364	PMID:15486203
NCU00690	11.04.02	 GO:0008033	PMID:15486203
NCU00690	70.10	 GO:0005634	PMID:15486203
NCU00692	18.02.01.01	 GO:0043085	PMID:15486203
NCU00692	32.01	 GO:0006950	PMID:15486203
NCU00693	11.04.01	 GO:0006364	PMID:15486203
NCU00701	01.05.09.07	 GO:0046348	PMID:15486203
NCU00706	70.03	 GO:0005737	PMID:15486203
NCU00707	16.03.01	 GO:0003677	PMID:15486203
NCU00709	01.05.03	 GO:0000272	PMID:15486203
NCU00711	20.01.27	 GO:0015893	PMID:15486203
NCU00711	20.09.16	 GO:0046903	PMID:15486203
NCU00712	01.06.06.11	 GO:0006694	PMID:15486203
NCU00713	01.02.02.09	 GO:0044270	PMID:15486203
NCU00714	32.01	 GO:0006950	PMID:15486203
NCU00714	40.01	 GO:0016049	PMID:15486203
NCU00715	01.01.09.04.01	 GO:0009094	PMID:15486203
NCU00720	01.05	 GO:0005975	PMID:15486203
NCU00720	02.01	 GO:0006096	PMID:15486203
NCU00721	20.01.07	 GO:0006865	PMID:15486203
NCU00726	14.01	 GO:0006457	PMID:15486203
NCU00726	70.16	 GO:0005739	PMID:15486203
NCU00728	20.01.27	 GO:0015893	PMID:15486203
NCU00728	20.09.16	 GO:0046903	PMID:15486203
NCU00734	14.13	 GO:0030163	PMID:15486203
NCU00736	01.07.01	 GO:0051188	PMID:15486203
NCU00742	01.06.05	 GO:0006633	PMID:15486203
NCU00742	16.21.07	 GO:0051287	PMID:15486203
NCU00754	20.01.27	 GO:0015893	PMID:15486203
NCU00754	20.03.02.03.01	 GO:0015299	PMID:15486203
NCU00755	20.01.27	 GO:0015893	PMID:15486203
NCU00758	20.01.03	 GO:0008643	PMID:15486203
NCU00761	01.06	 GO:0006629	PMID:15486203
NCU00762	01.05	 GO:0005975	PMID:15486203
NCU00765	20.01.07	 GO:0006865	PMID:15486203
NCU00768	11.02.03	 GO:0009299	PMID:15486203
NCU00770	42.01	 GO:0007047	PMID:15486203
NCU00772	10.03.03	 GO:0000910	PMID:15486203
NCU00772	14.07.03	 GO:0006468	PMID:15486203
