geneid	ecnumber
NCU02247	EC:2.1.1.37
NCU05848	EC:1.14.13.15
NCU06029	EC:2.7.7.3
NCU06949	EC:3.4.21.63
NCU17157	EC:2.5.1.34
NCU05750	EC:3.1.26.4
NCU17208	EC:2.3.1.97
NCU02657	EC:2.5.1.6
NCU01861	EC:1.1.1.206
NCU09216	EC:2.4.1.119
NCU03154	EC:2.7.1.33
NCU02096	EC:1.14.12.17
NCU01912	EC:2.4.1.109
NCU01360	EC:1.6.5.3
NCU06142	EC:2.2.1.2
NCU02344	EC:3.2.1.4
NCU12026	EC:2.7.7.58
NCU05790	EC:2.7.13.3
NCU17177	EC:2.3.1.97
NCU17177	EC:2.4.1.173
NCU06880	EC:1.11.1.15
NCU11249	EC:2.3.2.5
NCU00720	EC:1.1.1.27
NCU00931	EC:6.1.1.6
NCU04368	EC:2.5.1.18
NCU06563	EC:3.1.3.16
NCU06563	EC:3.1.4.12
NCU07732	EC:6.3.5.5
NCU00023	EC:1.16.1.7
NCU02416	EC:2.3.1.158
NCU09702	EC:3.2.1.164
NCU02382	EC:3.4.19.12
NCU06832	EC:3.6.4.4
NCU01571	EC:2.5.1.58
NCU01571	EC:2.5.1.60
NCU01571	EC:2.5.1.59
NCU16511	EC:3.1.3.-
NCU03623	EC:6.3.2.19
NCU03759	EC:6.1.1.10
NCU09855	EC:2.5.1.43
NCU08930	EC:1.6.5.3
NCU08930	EC:1.6.99.3
NCU11353	EC:2.7.1.17
NCU08752	EC:3.1.1.7
NCU00937	EC:3.2.1.31
NCU08616	EC:2.7.7.6
NCU00780	EC:1.1.1.28
NCU00580	EC:3.1.2.20
NCU00580	EC:3.1.2.-
NCU00580	EC:3.1.2.2
NCU00580	EC:3.1.2.3
NCU17060	EC:3.5.4.26
NCU05604	EC:1.10.3.2
NCU04994	EC:3.4.11.1
NCU06700	EC:3.1.1.23
NCU02280	EC:1.6.5.3
NCU02280	EC:1.6.99.3
NCU02235	EC:3.2.1.113
NCU00865	EC:4.1.1.2
NCU07005	EC:3.2.1.101
NCU06592	EC:3.4.21.89
NCU05220	EC:3.6.3.14
NCU06452	EC:2.5.1.47
NCU08985	EC:3.1.3.48
NCU00418	EC:1.6.5.3
NCU02133	EC:1.15.1.1
NCU04048	EC:3.5.4.4
NCU05127	EC:6.3.2.4
NCU05642	EC:6.1.1.16
NCU04797	EC:3.1.3.11
NCU00296	EC:2.1.1.43
NCU05049	EC:3.1.3.16
NCU05049	EC:3.1.3.48
NCU01092	EC:1.5.1.33
NCU01140	EC:1.6.1.2
NCU01428	EC:3.5.2.17
NCU01803	EC:2.3.2.8
NCU05418	EC:2.5.1.46
NCU01500	EC:2.7.1.22
NCU09357	EC:2.7.7.7
NCU04743	EC:3.1.3.5
NCU05071	EC:3.4.24.39
NCU07127	EC:3.1.1.45
NCU04020	EC:6.1.1.6
NCU07067	EC:3.2.1.113
NCU04460	EC:2.7.7.12
NCU04674	EC:3.2.1.20
NCU01404	EC:2.1.1.34
NCU01404	EC:2.1.1.66
NCU00200	EC:4.1.3.27
NCU00200	EC:4.1.1.48
NCU00200	EC:5.3.1.24
NCU06249	EC:2.7.11.1
NCU06211	EC:1.1.1.37
NCU11368	EC:2.7.7.53
NCU06179	EC:2.7.11.1
NCU06228	EC:3.1.3.77
NCU02084	EC:3.5.3.1
NCU04339	EC:2.7.1.15
NCU09663	EC:3.1.1.74
