funcatid	gotermid
43.02.17.02.03	 GO:0009559
43.03.02	 GO:0007281
43.03.03	 GO:0050931
43.03.07	 GO:0030218
43.03.07.02.01.02	 GO:0030217
43.03.07.02.01.01	 GO:0030183
43.03.07.02.03	 GO:0030225
43.03.11	 GO:0010001
43.03.13	 GO:0030182
45.02.01	 GO:0048507
45.02.01.01	 GO:0010072
45.02.01.02	 GO:0010071
45.02.13	 GO:0010087
45.03.05.05	 GO:0051216
45.03.05.07	 GO:0001503
45.03.05.09	 GO:0001944
45.03.09	 GO:0002009
45.03.12	 GO:0007517
45.03.12.01	 GO:0007519
45.03.12.02	 GO:0048745
45.03.12.03	 GO:0048738
45.03.15	 GO:0048608
45.03.17	 GO:0007399
45.03.19	 GO:0048732
47.01.01	 GO:0030448
47.01.03.01	 GO:0030584
47.02.01	 GO:0048367
47.02.01.02	 GO:0048366
47.02.01.03	 GO:0009908
47.02.01.03.01	 GO:0048442
47.02.01.03.02	 GO:0048441
47.02.01.03.03	 GO:0048653
47.02.01.03.04	 GO:0048440
47.02.01.04	 GO:0010154
47.02.01.05	 GO:0048316
47.02.01.05.01	 GO:0009793
47.02.01.05.02	 GO:0009960
47.02.02	 GO:0048364
47.03.01	 GO:0007399
47.03.01.01	 GO:0007417
47.03.01.01.01	 GO:0007420
47.03.01.02	 GO:0007422
47.03.02.01	 GO:0043583
47.03.02.02	 GO:0001654
47.03.02.03	 GO:0043584
47.03.02.04	 GO:0043586
47.03.02.05	 GO:0043588
47.03.03.02	 GO:0001944
47.03.05.01	 GO:0048538
47.03.05.02	 GO:0048536
47.03.05.03	 GO:0001945
47.03.07.01	 GO:0001822
47.03.09.01	 GO:0030324
47.03.09.05	 GO:0007424
47.03.11.01	 GO:0042476
47.03.11.05	 GO:0048565
47.03.11.07	 GO:0001889
47.03.11.09	 GO:0031016
47.03.13.05	 GO:0001942
47.03.15.01	 GO:0008585
47.03.15.05	 GO:0001890
47.03.15.07	 GO:0008584
47.03.21.04	 GO:0030850
47.03.17	 GO:0001501
47.03.21	 GO:0048732
47.03.21.01	 GO:0030879
47.03.21.02	 GO:0007431
47.03.21.03.01	 GO:0030325
47.03.21.03.06	 GO:0030878
70.01	 GO:0005618
70.03	 GO:0005737
70.04	 GO:0005856
70.04.03	 GO:0015629
70.04.05	 GO:0015630
70.04.07	 GO:0045111
70.05	 GO:0005813
70.06	 GO:0030054
70.06.03	 GO:0005924
70.06.04	 GO:0005911
70.07	 GO:0005783
70.08	 GO:0005794
70.09	 GO:0030133
70.10	 GO:0005634
70.10.03	 GO:0005694
70.10.04	 GO:0000775
70.10.05	 GO:0005635
70.10.06	 GO:0016363
70.10.07	 GO:0005730
70.10.09	 GO:0016607
70.16	 GO:0005739
70.16.01	 GO:0005741
70.16.03	 GO:0005758
70.16.05	 GO:0005743
70.16.07	 GO:0005759
70.19	 GO:0005777
70.22	 GO:0005768
70.25	 GO:0005764
70.26	 GO:0009536
70.26.03	 GO:0009507
70.26.05	 GO:0009501
70.26.07	 GO:0009509
70.26.09	 GO:0009545
70.26.11	 GO:0009513
70.26.13	 GO:0009516
70.27	 GO:0005576
70.27.01	 GO:0031012
70.28	 GO:0042597
70.29	 GO:0005933
70.32	 GO:0019861
70.33	 GO:0009289
70.34	 GO:0030313
70.34.01	 GO:0009279
70.34.03	 GO:0030113
70.34.05	 GO:0030115
70.34.07	 GO:0009274
70.34.09	 GO:0043593
70.36.03	 GO:0031470
70.36.05	 GO:0031411
70.37	 GO:0043590
