geneid	pubmedid	annotationmethod	annotationsource
NCU00322	22626843	Manual	Broad_CAP
NCU00322	22879952	Manual	Broad_CAP
NCU00322	24037267	Manual	Broad_CAP
NCU00325	22001287	Manual	Broad_CAP
NCU00326	20018766	Manual	Broad_CAP
NCU00326	19696111	Manual	Broad_CAP
NCU00326	22345350	Manual	Broad_CAP
NCU00326	22462823	Manual	Broad_CAP
NCU00326	22474347	Manual	Broad_CAP
NCU00326	22532664	Manual	Broad_CAP
NCU00326	22626843	Manual	Broad_CAP
NCU00326	23589521	Manual	Broad_CAP
NCU00327	20018766	Manual	Broad_CAP
NCU00329	18676954	Manual	Broad_CAP
NCU00329	15007097	Manual	Broad_CAP
NCU00329	16801547	Manual	Broad_CAP
NCU00331	22469835	Manual	Broad_CAP
NCU00334	22001287	Manual	Broad_CAP
NCU00335	22152473	Manual	Broad_CAP
NCU00336	19520721	Manual	Broad_CAP
NCU00336	22462823	Manual	Broad_CAP
NCU00336	23733042	Manual	Broad_CAP
NCU00337	19520721	Manual	Broad_CAP
NCU00337	22152473	Manual	Broad_CAP
NCU00338	15007097	Manual	Broad_CAP
NCU00340	15001190	Manual	Broad_CAP
NCU00340	16801547	Manual	Broad_CAP
NCU00340	18979236	Manual	Broad_CAP
NCU00340	19696111	Manual	Broad_CAP
NCU00340	16287898	Manual	Broad_CAP
NCU00340	21081763	Manual	Broad_CAP
NCU00344	22469835	Manual	Broad_CAP
NCU00345	22469835	Manual	Broad_CAP
NCU00347	19520721	Manual	Broad_CAP
NCU00347	19696111	Manual	Broad_CAP
NCU00348	19696111	Manual	Broad_CAP
NCU00348	22152473	Manual	Broad_CAP
NCU00350	22152473	Manual	Broad_CAP
NCU00351	22152473	Manual	Broad_CAP
NCU00352	19520721	Manual	Broad_CAP
NCU00352	22152473	Manual	Broad_CAP
NCU00354	24037267	Manual	Broad_CAP
NCU00355	12160934	Manual	Broad_CAP
NCU00355	17449655	Manual	Broad_CAP
NCU00355	17575051	Manual	Broad_CAP
NCU00355	18948219	Manual	Broad_CAP
NCU00355	19109972	Manual	Broad_CAP
NCU00355	19765588	Manual	Broad_CAP
NCU00355	2540152	Manual	Broad_CAP
NCU00355	16287898	Manual	Broad_CAP
NCU00355	19696111	Manual	Broad_CAP
NCU00355	20378991	Manual	Broad_CAP
NCU00355	20870880	Manual	Broad_CAP
NCU00355	22001287	Manual	Broad_CAP
NCU00355	22001288	Manual	Broad_CAP
NCU00355	22100504	Manual	Broad_CAP
NCU00355	22445960	Manual	Broad_CAP
NCU00355	22462823	Manual	Broad_CAP
NCU00355	22590528	Manual	Broad_CAP
NCU00355	22698962	Manual	Broad_CAP
NCU00355	23589521	Manual	Broad_CAP
NCU00355	23733042	Manual	Broad_CAP
NCU00355	23832201	Manual	Broad_CAP
NCU00359	20675579	Manual	Broad_CAP
NCU00360	19696111	Manual	Broad_CAP
NCU00360	20675579	Manual	Broad_CAP
NCU00360	22626843	Manual	Broad_CAP
NCU00360	23173086	Manual	Broad_CAP
NCU00365	19696111	Manual	Broad_CAP
NCU00365	22462823	Manual	Broad_CAP
NCU00366	15007097	Manual	Broad_CAP
NCU00366	19696111	Manual	Broad_CAP
NCU00367	22955885	Manual	Broad_CAP
NCU00369	23935467	Manual	Broad_CAP
NCU00370	23733042	Manual	Broad_CAP
NCU00371	10982393	Manual	Broad_CAP
NCU00371	14722057	Manual	Broad_CAP
NCU00371	9368075	Manual	Broad_CAP
NCU00371	16287898	Manual	Broad_CAP
NCU00371	20335503	Manual	Broad_CAP
NCU00371	20728240	Manual	Broad_CAP
NCU00372	22469835	Manual	Broad_CAP
NCU00373	22152473	Manual	Broad_CAP
NCU00373	22345350	Manual	Broad_CAP
NCU00373	22462823	Manual	Broad_CAP
NCU00373	23733042	Manual	Broad_CAP
NCU00373	24037267	Manual	Broad_CAP
NCU00377	22152473	Manual	Broad_CAP
NCU00378	19696111	Manual	Broad_CAP
NCU00378	22345350	Manual	Broad_CAP
NCU00378	23589521	Manual	Broad_CAP
NCU00378	23733042	Manual	Broad_CAP
