geneid	geneidv1	geneidv2	geneidv3	geneidv4	geneidv5
NCU00200	NCU00200.1	NCU00200.2	NCU00200.3	NCU00200.4	NCU00200.5
NCU00201	NCU00201.1	NA	NA	NCU00201.4	NCU00201.5
NCU00202	NCU00202.1	NCU00202.2	NCU00202.3	NCU00202.4	NCU00202.5
NCU00203	NCU00203.1	NCU00203.2	NCU00203.3	NCU00203.4	NCU00203.5
NCU00204	NCU00204.1	NCU00204.2	NCU00204.3	NCU00204.4	NCU00204.5
NCU00205	NCU00205.1	NCU00205.2	NCU00205.3	NCU00205.4	NCU00205.5
NCU00206	NCU00206.1	NCU00206.2	NCU00206.3	NCU00206.4	NCU00206.5
NCU00207	NCU00207.1	NCU00207.2	NCU00207.3	NCU00207.4	NCU00207.5
NCU00208	NCU00208.1	NCU00208.2	NCU00208.3	NCU00208.4	NCU00208.5
NCU00209	NCU00209.1	NCU00209.2	NCU00209.3	NCU00209.4	NCU00209.5
NCU00210	NCU00210.1	NCU00210.2	NCU00210.3	NCU00210.4	NCU00210.5
NCU00211	NCU00211.1	NCU00211.2	NA	NCU00211.4	NCU00211.5
NCU00212	NCU00212.1	NCU00212.2	NCU00212.3	NCU00212.4	NCU00212.5
NCU00213	NCU00213.1	NCU00213.2	NCU00213.3	NCU00213.4	NCU00213.5
NCU00214	NCU00214.1	NCU00214.2	NCU00214.3	NCU00214.4	NCU00214.5
NCU00215	NCU00215.1	NCU00215.2	NCU00215.3	NCU00215.4	NCU00215.5
NCU00216	NCU00216.1	NCU00216.2	NCU00216.3	NCU00216.4	NCU00216.5
NCU00218	NCU00218.1	NCU00218.2	NCU00218.3	NCU00218.4	NCU00218.5
NCU00219	NCU00219.1	NCU00219.2	NCU00219.3	NCU00219.4	NCU00219.5
NCU00220	NCU00220.1	NCU00220.2	NCU00220.3	NCU00220.4	NCU00220.5
NCU00221	NCU00221.1	NCU10345.2	NCU10345.3	NCU11871.4	NCU00221.5
NCU00222	NCU00222.1	NCU10345.2	NCU10345.3	NCU11872.4	NCU00222.5
NCU00223	NCU00223.1	NCU00223.2	NCU00223.3	NCU00223.4	NCU00223.5
NCU00224	NCU00224.1	NA	NA	NCU00224.4	NCU00224.5
NCU00225	NCU00225.1	NCU00225.2	NCU00225.3	NCU00225.4	NCU00225.5
NCU00226	NCU00226.1	NCU00226.2	NCU00226.3	NCU00226.4	NCU00226.5
